Handle,Title,Body HTML,Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Variant SKU,Variant Price,Variant Compare At Price,Variant Inventory Qty,Variant Inventory Policy,Image Src,Image Position,Status,Command
bk-bdfs15020x,Lavavajillas ProSmart™ Inverter Inox 10C Beko BDFS15020X,"<ul><li>Motor ProSmart™ Inverter</li><li>HygieneIntense</li><li>5 programas (Intensivo 70 °C, Eco 50 °C, Clean & Shine™, Quick & Shine®, Mini)</li><li>2 aspersores</li><li>Depósito de sal</li><li>Opción de media carga</li><li>Inicio diferido (3h /6h/ 9h)</li><li>Nivel de ruido: 47dBA</li><li>Dimensiones del producto (AnxAlxProf.): 44,8 x 85 x 60cm</li><li>Peso: 35,9Kg</li><li>Voltaje 220-240V</li><li>Frecuencia 50Hz</li></ul>",Beko,Electro,"Lavavajillas, Beko, stock-verificado",TRUE,Modelo,Lavavajillas ProSmart™ Inverter Inox 10C Beko BDFS15020X,BDFS15020X,799.00,,10,deny,https://f.fcdn.app/imgs/35c4cb/www.tiendabeko.com.uy/bekouy/e482/original/catalogo/BDFS15020X_BDFS15020X_1/1024-1024/lavavajillas-prosmart-inverter-inox-10c-beko-bdfs15020x-lavavajillas-prosmart-inverter-inox-10c-beko-bdfs15020x.jpg,1,,
bk-bdfs15020x,,,,,,,,,,,,,,https://f.fcdn.app/imgs/b34bb8/www.tiendabeko.com.uy/bekouy/a9d2/original/catalogo/BDFS15020X_BDFS15020X_2/1024-1024/lavavajillas-prosmart-inverter-inox-10c-beko-bdfs15020x-lavavajillas-prosmart-inverter-inox-10c-beko-bdfs15020x.jpg,2,,
bk-bdfs15020x,,,,,,,,,,,,,,https://f.fcdn.app/imgs/53f1a2/www.tiendabeko.com.uy/bekouy/19ec/original/catalogo/BDFS15020X_BDFS15020X_3/1024-1024/lavavajillas-prosmart-inverter-inox-10c-beko-bdfs15020x-lavavajillas-prosmart-inverter-inox-10c-beko-bdfs15020x.jpg,3,,
bk-bdfs15020x,,,,,,,,,,,,,,https://f.fcdn.app/imgs/5e07a0/www.tiendabeko.com.uy/bekouy/6561/original/catalogo/BDFS15020X_BDFS15020X_4/1024-1024/lavavajillas-prosmart-inverter-inox-10c-beko-bdfs15020x-lavavajillas-prosmart-inverter-inox-10c-beko-bdfs15020x.jpg,4,,
bk-bgm11226ex,Cocina combinada 111L con grill 90cm Beko BGM 11226 EX,"<ul><li>Volumen 111L</li><li>Grill eléctrico 4 hornallas y una hornalla wokera</li><li>Encendido eléctrico</li><li>5 niveles de altura en el horno</li><li>Tapa superior de vidrio</li><li>Tipo de gas: GN (instalado) /GLP</li><li>Rejillas de hierro fundido</li><li>Paredes interiores catalíticas</li><li>Termocupla</li><li>Pantalla LED</li><li>Puerta de cristal extraíble</li><li>Incluye rejilla y asadera</li><li>Dimensiones del producto (AnxAlxProf.): 90 x 90 x 60cm</li><li>Peso: 78,5Kg</li><li>Voltaje 220-240V</li><li>Frecuencia 50Hz</li></ul>",Beko,Electro,"Cocinas, Beko",TRUE,Modelo,Cocina combinada 111L con grill 90cm Beko BGM 11226 EX,BGM 11226 EX,1699.00,,0,deny,https://f.fcdn.app/imgs/c54fb6/www.tiendabeko.com.uy/bekouy/6052/original/catalogo/BGM11226EX_BGM11226EX_1/1024-1024/cocina-combinada-111l-con-grill-90cm-beko-bgm-11226-ex-cocina-combinada-111l-con-grill-90cm-beko-bgm-11226-ex.jpg,1,,
bk-bgm11226ex,,,,,,,,,,,,,,https://f.fcdn.app/imgs/bc01a3/www.tiendabeko.com.uy/bekouy/16a1/original/catalogo/BGM11226EX_BGM11226EX_2/1024-1024/cocina-combinada-111l-con-grill-90cm-beko-bgm-11226-ex-cocina-combinada-111l-con-grill-90cm-beko-bgm-11226-ex.jpg,2,,
bk-bgm11226ex,,,,,,,,,,,,,,https://f.fcdn.app/imgs/0db036/www.tiendabeko.com.uy/bekouy/ec29/original/catalogo/BGM11226EX_BGM11226EX_3/1024-1024/cocina-combinada-111l-con-grill-90cm-beko-bgm-11226-ex-cocina-combinada-111l-con-grill-90cm-beko-bgm-11226-ex.jpg,3,,
bk-bgm11226ex,,,,,,,,,,,,,,https://f.fcdn.app/imgs/e57f83/www.tiendabeko.com.uy/bekouy/b95e/original/catalogo/BGM11226EX_BGM11226EX_4/1024-1024/cocina-combinada-111l-con-grill-90cm-beko-bgm-11226-ex-cocina-combinada-111l-con-grill-90cm-beko-bgm-11226-ex.jpg,4,,
bk-bgm11226ex,,,,,,,,,,,,,,https://f.fcdn.app/imgs/e9be5b/www.tiendabeko.com.uy/bekouy/6027/original/catalogo/BGM11226EX_BGM11226EX_5/1024-1024/cocina-combinada-111l-con-grill-90cm-beko-bgm-11226-ex-cocina-combinada-111l-con-grill-90cm-beko-bgm-11226-ex.jpg,5,,
bk-fbm67320xs,Cocina vitrocerámica 65L con grill 60cm Beko FBM67320XS,"<ul><li>Volumen 65L</li><li>Placa vitrocerámica</li><li>Pantalla LED</li><li>8 funciones</li><li>Convector trasero</li><li>5 niveles de altura en el horno</li><li>Indicador de calor residual</li><li>Grill eléctrico</li><li>Termostato</li><li>Temporizador</li><li>Puerta de cristal extraíble</li><li>Libre instalación</li><li>Incluye rejilla y asadera</li><li>Dimensiones del producto (AnxAlxProf.): 60 x 85 x 60cm</li><li>Peso: 50,7Kg</li><li>Potencia total: 6900W</li><li>Zona izq. frontal: Ø12cm/21cm - 750W/2200W</li><li>Zona der. frontal: Ø18cm - 1800W</li><li>Zona posterior izq.: Ø14cm - 1200W</li><li>Zona posterior der.: Ø17cm/26,5cm - 1500W/2400W</li><li>Voltaje 220-240V</li><li>Frecuencia 50Hz</li></ul>",Beko,Electro,"Cocinas, Beko, stock-verificado",TRUE,Modelo,Cocina vitrocerámica 65L con grill 60cm Beko FBM67320XS,FBM67320XS,1199.00,,10,deny,https://f.fcdn.app/imgs/446fad/www.tiendabeko.com.uy/bekouy/bbf3/original/catalogo/FBM67320XS_FBM67320XS_1/1024-1024/cocina-vitroceramica-65l-con-grill-60cm-beko-fbm67320xs-cocina-vitroceramica-65l-con-grill-60cm-beko-fbm67320xs.jpg,1,,
bk-fbm67320xs,,,,,,,,,,,,,,https://f.fcdn.app/imgs/31664d/www.tiendabeko.com.uy/bekouy/be22/original/catalogo/FBM67320XS_FBM67320XS_2/1024-1024/cocina-vitroceramica-65l-con-grill-60cm-beko-fbm67320xs-cocina-vitroceramica-65l-con-grill-60cm-beko-fbm67320xs.jpg,2,,
bk-fbm67320xs,,,,,,,,,,,,,,https://f.fcdn.app/imgs/7b9614/www.tiendabeko.com.uy/bekouy/dcd0/original/catalogo/FBM67320XS_FBM67320XS_3/1024-1024/cocina-vitroceramica-65l-con-grill-60cm-beko-fbm67320xs-cocina-vitroceramica-65l-con-grill-60cm-beko-fbm67320xs.jpg,3,,
bk-fbm67320xs,,,,,,,,,,,,,,https://f.fcdn.app/imgs/7239cd/www.tiendabeko.com.uy/bekouy/0c75/original/catalogo/FBM67320XS_FBM67320XS_4/1024-1024/cocina-vitroceramica-65l-con-grill-60cm-beko-fbm67320xs-cocina-vitroceramica-65l-con-grill-60cm-beko-fbm67320xs.jpg,4,,
