Handle,Title,Body HTML,Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Variant SKU,Variant Price,Variant Compare At Price,Variant Inventory Qty,Variant Inventory Policy,Image Src,Image Position,Status,Command
jm-xi-led55w,"TV led smart 55"" Whale TV","<ul><li>Sistema operativo: whale</li><li>Marco SLIM</li><li>WIFI</li><li>Memoria 1 RAM, 8GB ROM</li><li>Sintonizador digital ISDBT</li><li>Bluethoot</li><li>3 HDMI</li><li>2 Puertos USB Movie</li><li>Conexión VGA</li><li>Audio IN</li><li>Medidas 122.5 x 71cm</li></ul>",Xion,Electro,"TV, Xion, stock-verificado",TRUE,Color,COLOR UNICO,XI-LED55W-CU-U,19274.00,19855.00,10,deny,https://f.fcdn.app/imgs/bf04e0/joacamar.com.uy/joacuy/ddd4/original/catalogo/XI-LED55W_CU_1/1024-1024/tv-led-smart-55-whale-tv-color-unico.jpg,1,active,
jm-xi-led55w,,,,,,,,,,,,,,https://f.fcdn.app/imgs/f40322/joacamar.com.uy/joacuy/8eef/original/catalogo/XI-LED55W_CU_2/1024-1024/tv-led-smart-55-whale-tv-color-unico.jpg,2,,
jm-xi-led70w,"TV led smart 70"" 4K Whale","<ul><li>Sistema operativo Whale TV</li><li>WIFI</li><li>Memoria 1,5GB RAM, 8GB ROM</li><li>Sintonizador digital ISDBT</li><li>Bluetooth</li><li>RJ453 3 HDMI</li><li>2 Puertos USB Movie</li><li>Conexión VGA</li><li>Audio IN</li><li>Medidas 1693 X 112 cm</li></ul>",Xion,Electro,"TV, Xion, stock-verificado",TRUE,Color,COLOR UNICO,XI-LED70W-CU-U,29305.00,30217.00,10,deny,https://f.fcdn.app/imgs/9f2394/joacamar.com.uy/joacuy/439a/original/catalogo/XI-LED70W_CU_1/1024-1024/tv-led-smart-70-4k-whale-color-unico.jpg,1,active,
jm-xi-led70w,,,,,,,,,,,,,,https://f.fcdn.app/imgs/634907/joacamar.com.uy/joacuy/476a/original/catalogo/XI-LED70W_CU_2/1024-1024/tv-led-smart-70-4k-whale-color-unico.jpg,2,,
jm-xi-fr360,"airfryer 4,5L freidora sin aceite con cesto de vidrio","<ul><li>Freidora LIBRE DE ACEITE</li><li>Sistema de cocción por aire Air Flow 360</li><li>Frita, hornea, cocina y gratina</li><li>Temperatura regulable de 80º a 200º</li><li>Cesto de vidrio templado</li><li>Timer digital de 60'</li><li>Base antiadherente</li><li>Potencia de 1700w</li><li>Frecuencia 50/60Hz</li><li>1 año de garantía</li></ul>",Xion,Electro,"Freidoras, Xion, stock-verificado",TRUE,Color,COLOR UNICO,XI-FR360-CU-U,3275.00,,10,deny,https://f.fcdn.app/imgs/7f823c/joacamar.com.uy/joacuy/8958/original/catalogo/XI-FR360_CU_1/1024-1024/airfryer-4-5l-freidora-sin-aceite-con-cesto-de-vidrio-color-unico.jpg,1,active,
jm-xi-fr360,,,,,,,,,,,,,,https://f.fcdn.app/imgs/03d6f4/joacamar.com.uy/joacuy/60d5/original/catalogo/XI-FR360_CU_2/1024-1024/airfryer-4-5l-freidora-sin-aceite-con-cesto-de-vidrio-color-unico.jpg,2,,
jm-xi-fr360,,,,,,,,,,,,,,https://f.fcdn.app/imgs/fd7f88/joacamar.com.uy/joacuy/4e9a/original/catalogo/XI-FR360_CU_3/1024-1024/airfryer-4-5l-freidora-sin-aceite-con-cesto-de-vidrio-color-unico.jpg,3,,
jm-xi-fr360,,,,,,,,,,,,,,https://f.fcdn.app/imgs/19f75b/joacamar.com.uy/joacuy/58eb/original/catalogo/XI-FR360_CU_4/1024-1024/airfryer-4-5l-freidora-sin-aceite-con-cesto-de-vidrio-color-unico.jpg,4,,
jm-xi-fr360,,,,,,,,,,,,,,https://f.fcdn.app/imgs/f9b7e5/joacamar.com.uy/joacuy/1fb6/original/catalogo/XI-FR360_CU_5/1024-1024/airfryer-4-5l-freidora-sin-aceite-con-cesto-de-vidrio-color-unico.jpg,5,,
jm-xi-led50fhd,"TV LED Smart 50"" Full HD","<ul><li>Formato de imagen: 16.9</li><li>RAM: 1GB - ROM: 86G</li><li>Control remoto</li><li>Pantalla visible 50""; 126 cm.</li><li>16.7 millones de colores</li><li>Ángulo de visión 178 grados.</li><li>Tiempo de respuesta 6,5ms</li><li>Contraste dynamico 50000.1</li><li>Sonido stereo</li><li>Entradas RJ45, 3 HDMI, AV IN, 2USB, ISDBT, SALIDA AURICULAR</li><li>Consumo 85 W</li><li>Voltaje 100-240</li><li>Frecuencia: 50/60Hz</li><li>Medidas de empaque: 1210x126x735mm</li><li>Peso 12,5 kg</li><li>ANDROID 14</li><li>2 USB MOVIE</li><li>Sintonizador digital</li><li>HDMI</li><li>Resolución FHD 1920X1080</li><li>Frameless</li><li>1 año de garantía</li></ul>",Xion,Electro,"TV, Xion, stock-verificado",TRUE,Color,COLOR UNICO,XI-LED50FHD-CU-U,14466.00,,10,deny,https://f.fcdn.app/imgs/3b75e3/joacamar.com.uy/joacuy/2407/original/catalogo/XI-LED50FHD_CU_1/1024-1024/tv-led-smart-50-full-hd-color-unico.jpg,1,active,
